File: linko
Type: cpu
Time: 2026-08-30 22:43:12 WAT
Duration: 30.05s, Total samples = 11.11s (36.98%)
Showing nodes accounting for 11s, 99.01% of 11.11s total
Dropped 54 nodes (cum <= 0.06s)
      flat  flat%   sum%        cum   cum%
     9.98s 89.83% 89.83%     10.45s 94.06%  golang.org/x/crypto/blowfish.encryptBlock
     0.49s  4.41% 94.24%      0.49s  4.41%  runtime.asyncPreempt
     0.30s  2.70% 96.94%     10.78s 97.03%  golang.org/x/crypto/blowfish.ExpandKey
     0.22s  1.98% 98.92%      0.22s  1.98%  runtime.pthread_cond_signal
     0.01s  0.09% 99.01%     10.79s 97.12%  golang.org/x/crypto/bcrypt.newFromPassword
         0     0% 99.01%     10.79s 97.12%  golang.org/x/crypto/bcrypt.GenerateFromPassword
         0     0% 99.01%     10.78s 97.03%  golang.org/x/crypto/bcrypt.bcrypt
         0     0% 99.01%     10.78s 97.03%  golang.org/x/crypto/bcrypt.expensiveBlowfishSetup
         0     0% 99.01%     10.81s 97.30%  main.(*server).handlerRedirect
         0     0% 99.01%     10.81s 97.30%  main.newServer.metricsMiddleware.func4
         0     0% 99.01%     10.81s 97.30%  main.newServer.newServer.requestLogger.func1.func2
         0     0% 99.01%     10.81s 97.30%  main.newServer.requestID.func3
         0     0% 99.01%     10.81s 97.30%  net/http.(*ServeMux).ServeHTTP
         0     0% 99.01%     10.83s 97.48%  net/http.(*conn).serve
         0     0% 99.01%     10.81s 97.30%  net/http.HandlerFunc.ServeHTTP
         0     0% 99.01%     10.81s 97.30%  net/http.serverHandler.ServeHTTP
         0     0% 99.01%      0.07s  0.63%  runtime.mcall
         0     0% 99.01%      0.22s  1.98%  runtime.notewakeup
         0     0% 99.01%      0.07s  0.63%  runtime.park_m
         0     0% 99.01%      0.19s  1.71%  runtime.ready
         0     0% 99.01%      0.07s  0.63%  runtime.schedule
         0     0% 99.01%      0.22s  1.98%  runtime.semawakeup
         0     0% 99.01%      0.18s  1.62%  runtime.send.goready.func1
         0     0% 99.01%      0.22s  1.98%  runtime.startm
         0     0% 99.01%      0.20s  1.80%  runtime.systemstack
         0     0% 99.01%      0.22s  1.98%  runtime.wakep
